,user_id,result
0,1,"[856942, 1082185, 995242, 9527290, 940947]"
1,2,"[8090521, 1106523, 5569230, 1133018, 916122]"
2,3,"[1092026, 1053690, 951590, 998206, 910032]"
3,4,"[883932, 891423, 910109, 962229, 1075368]"
4,5,"[1126899, 5568378, 5995609, 1123022, 1096036]"
5,6,"[1082185, 1119051, 840361, 1037863, 863447]"
6,7,"[1082185, 1122358, 6944571, 1022003, 828867]"
7,8,"[1082185, 8181377, 1133018, 969932, 5569230]"
8,9,"[1098066, 862799, 826249, 1029743, 952317]"
9,10,"[1106523, 945779, 1113588, 1121059, 15596488]"
10,11,"[995242, 8181323, 1133072, 1131344, 1127831]"
11,12,"[1056509, 981760, 6514085, 1124971, 1082185]"
12,13,"[1029743, 995242, 923746, 1038985, 1082185]"
13,14,"[981760, 951590, 1029743, 1025611, 916122]"
14,15,"[1082185, 1070820, 1029743, 995242, 923746]"
15,16,"[12263788, 1100533, 1035843, 923149, 1082185]"
16,17,"[833351, 5568072, 896085, 944486, 857849]"
17,18,"[826249, 1116821, 948420, 1137688, 1082185]"
18,19,"[962229, 1029743, 826249, 1033615, 879755]"
19,20,"[949836, 1075368, 1126899, 1123106, 865330]"
20,21,"[1106523, 8011397, 8011282, 1029743, 950098]"
21,22,"[1082185, 1070820, 1104349, 883003, 995965]"
22,23,"[1075368, 1138858, 1005274, 981760, 1029743]"
23,24,"[1036501, 1106523, 999971, 844165, 926905]"
24,25,"[826249, 1082185, 883404, 1118281, 1029743]"
25,26,"[1070015, 8119303, 985119, 923746, 831536]"
26,27,"[1003600, 959409, 1102416, 7409957, 7441391]"
27,28,"[1112238, 992730, 854900, 892531, 903745]"
28,29,"[1033615, 834833, 935284, 883404, 838602]"
29,30,"[1127831, 1106523, 923746, 868075, 927860]"
30,31,"[1057260, 1062128, 848015, 1040807, 854852]"
31,32,"[972569, 908846, 1003441, 961554, 1105488]"
32,33,"[1106523, 920844, 968146, 1096036, 9526430]"
33,34,"[993638, 879755, 883404, 999971, 907631]"
34,35,"[1126899, 1074754, 1058997, 1029743, 6534030]"
35,36,"[861445, 1029743, 962229, 1096317, 1047076]"
36,37,"[1067695, 1097001, 844165, 1053690, 916381]"
37,38,"[1082185, 866211, 1099058, 986912, 965267]"
38,39,"[1082185, 1126899, 1127716, 6513713, 1138487]"
39,40,"[903325, 1056651, 995242, 840361, 1082185]"
40,41,"[1082185, 909714, 1120009, 1077430, 981760]"
41,42,"[976998, 1082185, 981760, 953476, 839656]"
42,43,"[1120741, 844165, 874736, 821787, 962118]"
43,44,"[951590, 6979427, 1048440, 849843, 981760]"
44,45,"[8090537, 1070015, 1033615, 853172, 9575582]"
45,46,"[995242, 1082185, 1029743, 981760, 857503]"
46,47,"[6533681, 6533236, 995785, 995242, 934948]"
47,48,"[846760, 1127831, 956813, 9420312, 968215]"
48,49,"[5569471, 1082185, 893501, 1070820, 862349]"
49,50,"[849202, 908531, 917277, 1088835, 824555]"
50,51,"[1029743, 1101174, 1082212, 967395, 962229]"
51,52,"[1082185, 879280, 1088393, 850795, 1053690]"
52,53,"[5569471, 6034857, 1105623, 904360, 964853]"
53,54,"[989157, 883404, 860439, 926905, 908531]"
54,55,"[844165, 849843, 883932, 995242, 1106091]"
55,56,"[1056651, 1058997, 9803545, 6533608, 940947]"
56,57,"[861615, 1133018, 878302, 910291, 9527158]"
57,58,"[1082185, 1058997, 1095275, 1106523, 1127831]"
58,59,"[957951, 1056509, 995785, 981760, 1082185]"
59,60,"[961554, 1029743, 1073150, 1094371, 1004390]"
60,61,"[1056509, 12263180, 10285144, 8090565, 8014645]"
61,62,"[1082185, 1029743, 995242, 1106523, 981760]"
62,63,"[1062572, 1028166, 1125123, 921554, 872342]"
63,64,"[894236, 976998, 1013928, 1111839, 1065593]"
64,65,"[1029743, 1070820, 1082185, 962229, 1124729]"
65,66,"[1070015, 1061220, 1119879, 8090536, 1029743]"
66,67,"[971922, 833025, 7025114, 9420067, 1082185]"
67,68,"[1085604, 1037894, 1080414, 1029743, 9526563]"
68,69,"[951590, 1044078, 1053763, 1044188, 981760]"
69,70,"[1039156, 894236, 995242, 865891, 887691]"
70,71,"[1056509, 1044078, 1127831, 899624, 897954]"
71,72,"[1082185, 860776, 862349, 5585510, 1127831]"
72,73,"[850795, 1070820, 1130581, 1088393, 1085604]"
73,74,"[1082185, 1133018, 981760, 830795, 878996]"
74,75,"[1082185, 1029743, 995242, 1106523, 981760]"
75,76,"[1054080, 1082185, 857503, 951412, 944823]"
76,77,"[1082185, 1106523, 1126899, 1003188, 981760]"
77,78,"[9573206, 1082185, 849843, 9420336, 8205218]"
78,79,"[1070015, 1053690, 1082185, 1070820, 862349]"
79,80,"[1082185, 878996, 995242, 1055504, 1023958]"
80,81,"[844165, 1029743, 999971, 995242, 845193]"
81,82,"[1119761, 849202, 5569230, 819308, 1000753]"
82,83,"[1082185, 1059902, 923746, 1033324, 5592931]"
83,84,"[1080414, 829722, 1082185, 9575181, 5591038]"
84,85,"[983936, 1021519, 826249, 961554, 961220]"
85,86,"[865026, 1082185, 854852, 951590, 1029743]"
86,87,"[8293385, 1048257, 845208, 1126786, 1123014]"
87,88,"[8090521, 893018, 1075368, 1015826, 883404]"
88,89,"[1027569, 1024306, 995242, 986947, 941313]"
89,90,"[1082185, 1070820, 862535, 6464166, 1135552]"
90,91,"[1056651, 1029743, 854483, 1088147, 911088]"
91,92,"[1082185, 860776, 994928, 987838, 834484]"
92,93,"[1058997, 888476, 9655528, 1018670, 8119157]"
93,94,"[1131351, 939636, 992529, 1022981, 1115874]"
94,95,"[1029743, 995242, 908531, 849843, 1082185]"
95,96,"[1068292, 1015296, 1138189, 1129049, 1029743]"
96,97,"[995242, 1075368, 1082185, 1114597, 1096036]"
97,98,"[942088, 878302, 1134522, 1065593, 1095040]"
98,99,"[1082185, 824073, 1029743, 1013528, 886125]"
99,100,"[849843, 947107, 849202, 9526185, 831536]"
100,101,"[1133018, 1106523, 909894, 1123106, 5569845]"
101,102,"[1127831, 1028816, 848071, 1136719, 1033142]"
102,103,"[961846, 1106523, 1105488, 883404, 1089766]"
103,104,"[1082185, 995242, 1029743, 1011300, 933835]"
104,105,"[1082185, 897413, 1133018, 1135868, 1043751]"
105,106,"[1127179, 8090521, 993466, 8019977, 824546]"
106,107,"[951590, 1022872, 929668, 1047393, 1053690]"
107,108,"[1082185, 1127831, 1024306, 1029743, 980823]"
108,109,"[1082185, 1058997, 12731436, 996955, 862682]"
109,110,"[1133018, 951590, 860975, 995785, 927191]"
110,111,"[1133018, 9677874, 932179, 1106523, 1082185]"
111,112,"[1011300, 1029504, 1070820, 852856, 865511]"
112,113,"[1070820, 1082185, 976199, 893739, 833458]"
113,114,"[1029743, 5568489, 885697, 995242, 7025203]"
114,115,"[1082185, 1101010, 904360, 1098066, 1003188]"
115,116,"[1133018, 1013703, 908531, 1010424, 923746]"
116,117,"[1082185, 1056651, 854852, 862349, 1089392]"
117,118,"[1058997, 1082185, 849843, 1048893, 1003178]"
118,119,"[1029743, 1119399, 1082185, 908531, 995478]"
119,120,"[1024306, 1082185, 1029743, 995242, 1106523]"
120,121,"[1029743, 1033615, 12130522, 923746, 989069]"
121,122,"[5569230, 839849, 962118, 1102959, 940947]"
122,123,"[1056509, 896617, 1126899, 826249, 844179]"
123,124,"[1106523, 9526410, 1037840, 1077555, 833025]"
124,125,"[1029743, 995242, 844165, 890689, 8090537]"
125,126,"[981760, 951590, 1096036, 1101173, 1044078]"
126,127,"[1082185, 904360, 1044078, 1106523, 1118787]"
127,128,"[1051516, 1082185, 1098248, 1003188, 903325]"
128,129,"[1082185, 995242, 1058997, 1029743, 860975]"
129,130,"[951590, 1070015, 1114597, 1106523, 823862]"
130,131,"[1082185, 1029743, 821083, 981760, 1075214]"
131,132,"[1058997, 1082185, 854852, 986912, 825365]"
132,133,"[1127831, 995242, 1082185, 1132771, 1133018]"
133,134,"[823704, 1082185, 995242, 5569845, 5569230]"
134,135,"[862349, 1046584, 961791, 1011841, 1061688]"
135,136,"[8090521, 5569230, 1029624, 883404, 8090539]"
136,137,"[1082185, 1058997, 1098066, 1127831, 908531]"
137,138,"[1082185, 1070820, 9419528, 904360, 960318]"
138,139,"[1082185, 879755, 1058997, 968695, 1057102]"
139,140,"[8090521, 879755, 844165, 913414, 8090537]"
140,141,"[1033220, 1043301, 1116207, 863699, 866871]"
141,142,"[1070015, 1074524, 1093966, 1082212, 1065593]"
142,143,"[5569230, 1133018, 1053690, 1106523, 995242]"
143,144,"[1106523, 5585510, 879755, 883404, 904360]"
144,145,"[1082185, 839849, 5569471, 1017061, 871162]"
145,146,"[995242, 1082310, 1023958, 1029743, 918733]"
146,147,"[1133018, 908531, 860975, 833870, 1082172]"
147,148,"[995242, 5568489, 5568378, 1082185, 1003487]"
148,149,"[981760, 862349, 1082185, 6533936, 913210]"
149,150,"[859154, 851129, 848971, 844179, 835243]"
150,151,"[999581, 9420067, 953561, 916122, 961554]"
151,152,"[1037332, 1082185, 993441, 914190, 1127831]"
152,153,"[822677, 8011397, 8011285, 916767, 8011282]"
153,154,"[1030362, 1098066, 1074333, 1133018, 923746]"
154,155,"[1029743, 1098066, 883404, 971922, 917742]"
155,156,"[942088, 1080414, 1082185, 986394, 9526254]"
156,157,"[962229, 6904925, 1082185, 826144, 838186]"
157,158,"[862349, 1082185, 909894, 7025106, 981760]"
158,159,"[8205218, 1098066, 923746, 1096036, 857849]"
159,160,"[1070820, 894236, 1135834, 977497, 904997]"
160,161,"[868764, 1123792, 9677202, 871162, 1051323]"
161,162,"[1122358, 1029743, 904360, 902856, 1031906]"
162,163,"[867668, 944137, 999198, 1104414, 1102927]"
163,164,"[1029743, 968932, 13115493, 1058554, 972244]"
164,165,"[1082185, 1070820, 994928, 862349, 1024306]"
165,166,"[1075368, 1106523, 951590, 1029743, 944486]"
166,167,"[1072693, 1009046, 908318, 931726, 980263]"
167,168,"[1082185, 1029743, 885290, 848071, 1088414]"
168,169,"[1099164, 1037894, 1107553, 1043494, 1016800]"
169,170,"[1082185, 1126899, 904360, 1024306, 1078652]"
170,171,"[987724, 905817, 908531, 998119, 1042907]"
171,172,"[1053690, 1098066, 932298, 994928, 1033142]"
172,173,"[1094924, 1070820, 895540, 862349, 949616]"
173,174,"[1133018, 1050851, 826249, 9526410, 6602440]"
174,175,"[901452, 1058997, 919644, 1120085, 991379]"
175,176,"[1106523, 896602, 5569230, 5569845, 985893]"
176,177,"[1082185, 1127831, 854852, 901666, 1058997]"
177,178,"[1085604, 1056651, 873627, 972312, 1092026]"
178,179,"[5569230, 912137, 949965, 1033142, 938700]"
179,180,"[5569230, 1029743, 1013928, 830503, 8177622]"
180,181,"[1082185, 1030409, 995242, 852035, 854852]"
181,182,"[1133018, 962118, 1037863, 1043006, 1134522]"
182,183,"[1106523, 1135681, 1081853, 1028816, 1118393]"
183,184,"[896085, 1056746, 824005, 6533936, 1046756]"
184,185,"[1029743, 1085604, 930917, 916122, 822407]"
185,186,"[834117, 821787, 957951, 1102959, 1082185]"
186,187,"[983584, 908531, 929726, 1082185, 951590]"
187,188,"[1106523, 1033615, 1007191, 849843, 1099089]"
188,189,"[9707498, 996156, 904129, 999714, 986912]"
189,190,"[865178, 1053690, 951590, 1029743, 995785]"
190,191,"[914190, 1007082, 1036347, 1048200, 12384775]"
191,192,"[5569230, 1029743, 1082212, 9835509, 1002850]"
192,193,"[1029743, 983584, 6704207, 944139, 991592]"
193,194,"[951412, 854852, 6391381, 1041259, 9523079]"
194,195,"[1082185, 821344, 995242, 1029743, 908531]"
195,196,"[826249, 1106523, 1101173, 962229, 859075]"
196,197,"[1126899, 9881593, 951590, 1082185, 997988]"
197,198,"[1085604, 883404, 1029743, 870547, 1065593]"
198,199,"[948420, 990004, 859237, 7409670, 7409664]"
199,200,"[1037894, 1138189, 1085604, 823990, 863802]"
200,201,"[1108168, 1082185, 5569327, 1138292, 8205218]"
201,202,"[1029743, 962229, 5569230, 8090521, 8090537]"
202,203,"[1029743, 5569471, 849843, 891752, 830156]"
203,204,"[6034857, 847982, 861445, 872137, 923746]"
204,205,"[1106523, 1082185, 1026118, 1115577, 910032]"
205,206,"[926905, 1106523, 883404, 826249, 957951]"
206,207,"[1138189, 1081177, 1071939, 834484, 878996]"
207,208,"[854133, 1055425, 879504, 1040781, 1082185]"
208,209,"[849843, 923746, 908531, 957951, 1029743]"
209,210,"[1082185, 879755, 1081177, 860776, 1034134]"
210,211,"[962229, 1133018, 1082185, 856942, 7440663]"
211,212,"[1082185, 1081189, 995242, 6533362, 866211]"
212,213,"[862139, 1127817, 5569327, 1062453, 867931]"
213,214,"[1082185, 896444, 838258, 872729, 1049897]"
214,215,"[895540, 1082185, 5587837, 882288, 994928]"
215,216,"[6533936, 866227, 9526886, 910109, 974156]"
216,217,"[1082185, 841266, 895930, 834484, 925514]"
217,218,"[1097001, 931672, 894439, 860776, 995242]"
218,219,"[1082185, 981760, 1127831, 862349, 843689]"
