,user_id,result
0,1,"[866227, 995242, 840361, 1004906, 990656]"
1,2,"[951590, 1098066, 1106523, 1133018, 5569230]"
2,3,"[951590, 5568378, 1133018, 1053690, 1092026]"
3,4,"[883404, 5569230, 840361, 1044078, 833025]"
4,5,"[859075, 1126899, 1029743, 5568378, 916122]"
5,6,"[5568378, 5569230, 909894, 995242, 883404]"
6,7,"[5568378, 1126899, 1044078, 1133018, 1029743]"
7,8,"[859075, 995242, 923746, 1133018, 840361]"
8,9,"[826249, 1070820, 1098066, 909894, 893018]"
9,10,"[1065593, 908531, 1004906, 951590, 5569230]"
10,11,"[5569230, 5568378, 1053690, 5569471, 951590]"
11,12,"[859075, 908531, 1065593, 916122, 951590]"
12,13,"[923746, 840361, 1029743, 8090521, 995242]"
13,14,"[5568378, 1098066, 909894, 951590, 5569471]"
14,15,"[826249, 1133018, 995242, 1096036, 923746]"
15,16,"[916122, 951590, 1098066, 844179, 908531]"
16,17,"[1098066, 995242, 883404, 826249, 844179]"
17,18,"[1098066, 826249, 840361, 995242, 916122]"
18,19,"[826249, 1098066, 859075, 883404, 5568378]"
19,20,"[1065593, 849843, 883404, 1126899, 840361]"
20,21,"[1106523, 883404, 1029743, 1098066, 1096036]"
21,22,"[826249, 1098066, 1070820, 840361, 1110142]"
22,23,"[1065593, 995242, 1053690, 951590, 923746]"
23,24,"[9526410, 908531, 1133018, 1053690, 5569230]"
24,25,"[826249, 5568378, 8090521, 995242, 1065593]"
25,26,"[1029743, 840361, 849843, 995242, 923746]"
26,27,"[833025, 1003600, 1076056, 7440663, 1019479]"
27,28,"[1065593, 916122, 10344971, 892531, 903745]"
28,29,"[826249, 5568378, 995242, 883404, 1029743]"
29,30,"[1029743, 1106523, 883404, 923746, 1098066]"
30,31,"[916122, 859075, 1070820, 1126899, 1044078]"
31,32,"[840361, 1068719, 928754, 1058997, 862349]"
32,33,"[1106523, 826249, 1080414, 1098066, 1068719]"
33,34,"[995242, 1065593, 916122, 826249, 1092026]"
34,35,"[5569230, 908531, 1058997, 862349, 1126899]"
35,36,"[826249, 883404, 9526410, 995242, 1044078]"
36,37,"[1133018, 1096036, 1106523, 844165, 8090537]"
37,38,"[908531, 1098066, 1058997, 1133018, 862349]"
38,39,"[1098066, 826249, 916122, 951590, 909894]"
39,40,"[908531, 859075, 840361, 1098066, 849843]"
40,41,"[849843, 1058997, 1126899, 9911484, 15717057]"
41,42,"[916122, 1071939, 923746, 883404, 904774]"
42,43,"[908531, 844165, 1053690, 1038217, 1004906]"
43,44,"[951590, 1098066, 826249, 849843, 1029743]"
44,45,"[1044078, 883404, 849843, 1106523, 8090537]"
45,46,"[1098066, 826249, 909894, 1068719, 987562]"
46,47,"[826249, 9526410, 995242, 1044078, 916122]"
47,48,"[1106523, 1004906, 916122, 1071939, 1044078]"
48,49,"[5568378, 1058997, 916122, 844179, 862349]"
49,50,"[951590, 1098066, 826249, 962229, 1133018]"
50,51,"[1065593, 951590, 965766, 1004906, 962229]"
51,52,"[1044078, 951590, 1106523, 1133018, 5569230]"
52,53,"[1044078, 844179, 1058997, 5569471, 892920]"
53,54,"[1070820, 5569230, 1004906, 962229, 5568378]"
54,55,"[883404, 951590, 849843, 844165, 995242]"
55,56,"[938700, 1058997, 5569230, 908531, 8090537]"
56,57,"[1080414, 826249, 995242, 1133018, 1004906]"
57,58,"[1029743, 849843, 840361, 995242, 1106523]"
58,59,"[826249, 1098066, 1133018, 849843, 883404]"
59,60,"[1070820, 849843, 5569230, 840361, 826249]"
60,61,"[833025, 883404, 859075, 1085604, 1058997]"
61,62,"[5569230, 951590, 916122, 5569471, 908531]"
62,63,"[849843, 1098066, 1065593, 1044078, 1070820]"
63,64,"[866227, 826249, 951590, 1133018, 1065593]"
64,65,"[1080414, 849843, 1070820, 840361, 844165]"
65,66,"[8090521, 908531, 1133018, 859075, 1106523]"
66,67,"[859075, 9526410, 1070820, 951590, 1096036]"
67,68,"[1080414, 866227, 859075, 1098066, 826249]"
68,69,"[826249, 938700, 859075, 1068719, 1004906]"
69,70,"[5569230, 916122, 1085604, 908531, 951590]"
70,71,"[1080414, 908531, 1044078, 910032, 826249]"
71,72,"[1065593, 844179, 5568378, 909894, 8090537]"
72,73,"[826249, 1070820, 866227, 1085604, 5567702]"
73,74,"[910032, 1004906, 1068719, 859075, 1071939]"
74,75,"[1044078, 849843, 1070820, 844179, 908531]"
75,76,"[1070820, 826249, 840361, 1098066, 908531]"
76,77,"[908531, 826249, 1126899, 962229, 859075]"
77,78,"[1098066, 923746, 1065593, 849843, 896369]"
78,79,"[826249, 9526410, 909894, 1053690, 908531]"
79,80,"[826249, 859075, 1098066, 1096036, 1071939]"
80,81,"[909894, 1068719, 995242, 1044078, 849843]"
81,82,"[1070820, 849843, 1098066, 1133018, 826249]"
82,83,"[1065593, 923746, 840361, 1068719, 5592931]"
83,84,"[1080414, 951590, 995242, 840361, 938700]"
84,85,"[826249, 995242, 866227, 840361, 916122]"
